,name,position,primary_color,secondary_color,badge,avatar_url,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,totalTackle,errorLeadToAShot,ownGoals,wasFouled,fouls,totalOffside,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,totalOffside,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,keyPass,expectedAssists,groundWon
0,John Victor,G,#ffffff,#000000,/Users/casalecchi/Code/labACE/img/bota.png,https://api.sofascore.com/api/v1/player/840103/image,20.0,19.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,90.0,21.0,7.1,2.0,0.0,0.0,0.0,0.0
1,Newton Junior,D,#ffffff,#000000,/Users/casalecchi/Code/labACE/img/bota.png,https://api.sofascore.com/api/v1/player/1065370/image,52.0,46.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,62.0,7.4,7.0,0.0,1.0,0.03,4.0
2,Bastos,D,#ffffff,#000000,/Users/casalecchi/Code/labACE/img/bota.png,https://api.sofascore.com/api/v1/player/215956/image,49.0,45.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,59.0,7.3,6.0,0.0,0.0,0.0,5.0
3,Jefferson Maciel,D,#ffffff,#000000,/Users/casalecchi/Code/labACE/img/bota.png,https://api.sofascore.com/api/v1/player/1199426/image,63.0,59.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,11.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,86.0,7.9,6.0,0.0,2.0,0.02,11.0
4,Hugo,D,#ffffff,#000000,/Users/casalecchi/Code/labACE/img/bota.png,https://api.sofascore.com/api/v1/player/1018915/image,45.0,37.0,5.0,4.0,1.0,6.0,3.0,0.0,0.0,12.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,57.0,7.9,9.0,0.2,3.0,0.53,2.0
5,Júnior Santos,M,#ffffff,#000000,/Users/casalecchi/Code/labACE/img/bota.png,https://api.sofascore.com/api/v1/player/922559/image,33.0,31.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,7.0,13.0,2.0,1.0,6.0,6.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,50.0,8.3,4.0,0.24,0.0,0.0,12.0
6,Kaué Rodrigues Pessanha,M,#ffffff,#000000,/Users/casalecchi/Code/labACE/img/bota.png,https://api.sofascore.com/api/v1/player/1609566/image,41.0,35.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,56.0,6.7,7.0,0.31,0.0,0.0,4.0
7,Jacob Montes,M,#ffffff,#000000,/Users/casalecchi/Code/labACE/img/bota.png,https://api.sofascore.com/api/v1/player/1009787/image,23.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,31.0,6.9,0.0,0.0,0.0,0.0,4.0
8,Matías Segovia,M,#ffffff,#000000,/Users/casalecchi/Code/labACE/img/bota.png,https://api.sofascore.com/api/v1/player/988622/image,30.0,23.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,8.0,0.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,87.0,44.0,7.0,12.0,0.0,0.0,0.0,8.0
9,Jefferson Savarino,F,#ffffff,#000000,/Users/casalecchi/Code/labACE/img/bota.png,https://api.sofascore.com/api/v1/player/874739/image,14.0,11.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,7.0,3.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,27.0,7.1,4.0,0.14,2.0,0.13,7.0
